,,,,,5. Tech Usage Only (No AI),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Search Term ,,,Paper Title,,,Database,,,DOI link,,,,,,,,
,,Screen time and focus interaction,,,Focus Time: Effectiveness of Computer Assisted Protected Time for Wellbeing and Work Engagement of Information Workers,,,ACM Digital Library,,,https://doi.org/10.1145/3596671.3598571,,,,,,,,
,,Screen time and focus interaction,,,Screen Time and Parent-Child Talk When Children Are Aged 12 to 36 Months,,,PubMed,,,https://doi.org/10.1001/jamapediatrics.2023.6790,,,,,,,,
,,Screen time and focus interaction,,,Human-Robot Interaction: Designing Effective Interfaces for Collaborative Tasks,,,IEEE Xplore,,,https://doi.org/10.1109/ICAC2N63387.2024.10895441,,,,,,,,
,,Screen time and focus interaction,,,The association between screen time trajectories and the comorbidity of depression and anxiety,,,Science Direct,,,https://doi.org/10.1016/j.addbeh.2025.108260,,,,,,,,
,,Screen time and focus interaction,,,Screen Time and Productivity: An Extension of Goal-setting Theory to Explain Optimum Smartphone Use,,,Google Scholar,,,https://doi.org/10.17705/1thci.00169,,,,,,,,
,,Screen time and focus interaction,,,Examining the Impact of Video Reality-level to Support Transition from Screen Time to Screen-Free Time (TSSF),,,ACM Digital Library,,,https://doi.org/10.1145/3613905.3651010,,,,,,,,
,,Screen time and focus interaction,,,Screen time reduction and focus on social engagement in autism spectrum disorder: A pilot study,,,Google Scholar,,,https://doi.org/10.1111/ped.15343,,,,,,,,
,,Screen time and focus interaction,,,Adolescent-parent interactions and attitudes around screen time and sugary drink consumption: a qualitative study,,,Google Scholar,,,https://doi.org/10.1186/1479-5868-6-61,,,,,,,,
,,In digital technology use Cognitive load,,,"Cognitive, affective, and normative factors affecting digital insurance adoption among persons with disabilities: A two-stage SEM-ANN analysis",,,Science Direct,,,https://doi.org/10.1016/j.gfj.2024.101048,,,,,,,,
,,In digital technology use Cognitive load,,,Reducing the Cognitive Load of Playing a Digital Tabletop Game with a Multimodal Interface,,,ACM Digital Library,,,https://doi.org/10.1145/3491102.3502062,,,,,,,,
,,In digital technology use Cognitive load,,,Conferences >2024 International Symposium Research on Teaching Activities in University Blended Technology Development Courses with Support from Generative Virtual Digital Humans,,,IEEE Xplore,,,https://doi.org/10.1109/ISET61814.2024.00052,,,,,,,,
,,In digital technology use Cognitive load,,,"Cognitive load theory, the transient information effect and e-learning",,,Science Direct,,,https://doi.org/10.1016/j.learninstruc.2012.05.004,,,,,,,,
,,In digital technology use Cognitive load,,,Memory-related cognitive load effects in an interrupted learning task: A model-based explanation,,,PubMed,,,https://doi.org/10.1016/j.tine.2020.100139,,,,,,,,
,,In digital technology use Cognitive load,,,Using cognitive strategies overcomes cognitive load in online learning environments,,,Google Scholar,,,https://doi.org/10.1037//0022-0663.80.3.284,,,,,,,,
,,In digital technology use Cognitive load,,,The Effect of Instructional and Interactive Feedback on EFL Students’ Cognitive Load in Digital Storytelling,,,IEEE Xplore,,,https://doi.org/10.1109/ICALT52272.2021.00091,,,,,,,,
,,In digital technology use Cognitive load,,,Cognitive factors and actual usage of Fintech innovation: Exploring the UTAUT framework for digital banking,,,Science Direct,,,https://doi.org/10.1016/j.heliyon.2024.e35582,,,,,,,,
,,In digital technology use Cognitive load,,,Applying cognitive load theory to the design of Web-based instruction,,,IEEE Xplore,,,https://doi.org/10.1109/IPCC.2000.887293,,,,,,,,
,,Digital distraction in focusing,,,Mitigating Digital Distractions in Higher Education: An Empirical Study on Awareness and Intervention Strategies,,,IEEE Xplore,,,https://doi.org/10.1109/WEEF-GEDC63419.2024.10854932,,,,,,,,
,,Digital distraction in focusing,,,"Digital Distraction, Attention Regulation, and Inequality",,,Google Scholar,,,https://doi.org/10.1007/s13347-024-00698-z,,,,,,,,
,,Digital distraction in focusing,,,Preventing digital distraction in secondary classrooms: A quasi-experimental study,,,Science Direct,,,https://doi.org/10.1016/j.compedu.2024.105223,,,,,,,,
,,Digital distraction in focusing,,,Classification Comparison of Activity Distraction Detection in Car Driving,,,ACM Digital Library,,,https://doi.org/10.1145/3568231.3568236,,,,,,,,
,,Digital distraction in focusing,,,The effect of sudden-onset distractors on reading efficiency and comprehension,,,PubMed,,,https://doi.org/10.1177/17470218221108355,,,,,,,,
,,Digital distraction in focusing,,,Exploring the Influence of Digital Media on Secondary School Students' Daily Lives,,,IEEE Xplore,,,https://doi.org/10.1109/CANDO-EPE65072.2024.10772881,,,,,,,,
,,Digital distraction in focusing,,,"The influence of digital distraction on cognitive load, attention conflict and meeting productivity",,,Google Scholar,,,https://hdl.handle.net/11427/31622,,,,,,,,
,,Digital distraction in focusing,,,Digital Distraction,,,ACM Digital Library,,,https://doi.org/10.1145/3047273.3047328,,,,,,,,
,,Digital distraction in focusing,,,Mindful work and mindful technology: Redressing digital distraction in knowledge work,,,Science Direct,,,https://doi.org/10.1016/j.digbus.2022.100051,,,,,,,,
,,Attention span in tech-usage,,,Dynamic Attention-Based Click-Through Rate Prediction Model,,,ACM Digital Library,,,https://doi.org/10.1145/3625343.3625355,,,,,,,,
,,Attention span in tech-usage,,,Examining the Influence of Short Videos on attention Span and its Relationship with Academic Performance,,,Google Scholar,,,https://dx.doi.org/10.21275/SR24428105200,,,,,,,,
,,Attention span in tech-usage,,,Global visual attention SPAN in different video game genres,,,PubMed,,,https://doi.org/10.1038/s41598-023-49434-1,,,,,,,,
,,Attention span in tech-usage,,,"Attention span during lectures: 8 seconds, 10 minutes, or more?",,,PubMed,,,https://doi.org/10.1152/advan.00109.2016,,,,,,,,
,,Attention span in tech-usage,,,Attention Receipts: Utilizing the Materiality of Receipts to Improve Screen-time Reflection on YouTube,,,ACM Digital Library,,,https://doi.org/10.1145/3613904.3642505,,,,,,,,
